avg_age_l1,avg_region_l1,config_seed,epsilon,feature_set,hierarchical_effect_l2,hierarchical_final_loss,linear_final_loss,method,n_effective,overall_l1,overall_linf,overall_mae,p90_age_l1_major,p90_region_l1_major,partial_pooling,population_n,poststratified,random_seed,runtime_sec,sample_seed,sample_size,sampling,scenario,scenario_collection_bias,scenario_truth_model,skipped,trial,weighted_age_l1,weighted_region_l1,winner_correct,worst_age_l1,worst_age_l1_major,worst_group_l1_major,worst_region_l1,worst_region_l1_major
1.3095066401984055,1.1660140637577894,123,0.5,"region,age_group,education,gender,urbanicity",,,,baseline_rr_debias,80,1.1872749776939808,0.35848066863735234,0.23745499553879618,1.6111111111111112,1.5555020829468924,,1000,,12890,0.0007636350001121173,9220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,0,1.2713283428992521,1.1725130630874336,0,1.6111111111111112,1.6111111111111112,1.6111111111111112,1.5833333333333333,1.5833333333333333
0.47646044837826534,0.4608555905153047,123,0.5,"region,age_group,education,gender,urbanicity",,,1.6584858933409155,mrp_rr_poststrat,80,0.4745531101782098,0.1342128821788259,0.09491062203564196,0.64313517280397,0.5575677804293314,,1000,1,12890,0.0025293619999047223,9220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,0,0.4757774892995386,0.47455311017821056,1,0.64313517280397,0.64313517280397,0.64313517280397,0.6344376402469554,0.6344376402469554
0.6246210813443277,0.6076361650559299,123,0.5,"region,age_group,education,gender,urbanicity",1.0,1.6471560631598012,,hierarchical_rr_mrp_poststrat,80,0.6229493391645265,0.20568683553934503,0.12458986783290531,0.7750664860779415,0.7160001931635865,1,1000,1,12890,0.0038230110001222783,9220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,0,0.622949339164527,0.622949339164527,0,0.7750664860779415,0.7750664860779415,0.8018262263009223,0.8018262263009223,0.8018262263009223
0.7141591209420534,1.0764033502985437,123,1.0,"region,age_group,education,gender,urbanicity",,,,baseline_rr_debias,80,0.4164825301519949,0.11587354417933288,0.08329650603039898,1.1199887665687778,1.544776754261956,,1000,,17890,0.0006871810001030099,9220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,0,0.7127704322366051,1.0114240733227253,1,1.1199887665687778,1.1199887665687778,1.6981132075471699,1.6981132075471699,1.6981132075471699
0.4597641916830544,0.43897987033080005,123,1.0,"region,age_group,education,gender,urbanicity",,,1.6616573469053395,mrp_rr_poststrat,80,0.4468012068204247,0.14607767350595735,0.08936024136408494,0.5943541017618611,0.5298448358253132,,1000,1,17890,0.07768739599987384,9220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,0,0.45881042953443446,0.44932986704965494,0,0.5943541017618611,0.5943541017618611,0.6084578851538145,0.6084578851538145,0.6084578851538145
0.3713246392576886,0.35786197206969445,123,1.0,"region,age_group,education,gender,urbanicity",1.0,1.6429058288161995,,hierarchical_rr_mrp_poststrat,80,0.3564062289476591,0.127633841629372,0.07128124578953182,0.5203193068102622,0.45257573750575913,1,1000,1,17890,0.003165338999906453,9220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,0,0.36954690384291883,0.36847760328850737,0,0.5203193068102622,0.5203193068102622,0.5203193068102622,0.5150161149695445,0.5150161149695445
0.9065362839923177,1.129587982384082,123,0.5,"region,age_group,education,gender,urbanicity",,,,baseline_rr_debias,80,0.6424289757373971,0.21372869272121922,0.12848579514747943,1.3846153846153846,1.8208955223880596,,1000,,22890,0.000796919999856982,19220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,1,0.8739999999999998,1.1121331238953984,0,1.3846153846153846,1.3846153846153846,1.8297872340425532,1.8297872340425532,1.8297872340425532
0.5396172269643117,0.521021489896788,123,0.5,"region,age_group,education,gender,urbanicity",,,1.6610822093841866,mrp_rr_poststrat,80,0.5366901242422305,0.17275529288465036,0.1073380248484461,0.6992673929660684,0.6258737307886184,,1000,1,22890,0.0015506719998938934,19220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,1,0.5366901242422301,0.5366901242422303,0,0.6992673929660684,0.6992673929660684,0.7016258671284725,0.7016258671284725,0.7016258671284725
0.43051680465481174,0.4099322090445681,123,0.5,"region,age_group,education,gender,urbanicity",1.0,1.64748136443112,,hierarchical_rr_mrp_poststrat,80,0.40122451549100807,0.16243187784080745,0.08024490309820162,0.6003465798108529,0.5047222692173483,1,1000,1,22890,0.003401205000045593,19220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,1,0.4283439651635839,0.4163571042429155,0,0.6003465798108529,0.6003465798108529,0.6003465798108529,0.5437808542868121,0.5437808542868121
0.9241752936973532,0.9445797122740349,123,1.0,"region,age_group,education,gender,urbanicity",,,,baseline_rr_debias,80,0.29298835343466334,0.10300000000000004,0.05859767068693267,1.668971885018097,1.191011235955056,,1000,,27890,0.0007362660001035692,19220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,1,0.9772187771203652,0.858580476787744,1,1.668971885018097,1.668971885018097,1.668971885018097,1.5238095238095237,1.5238095238095237
0.5557041467265146,0.5374483655069046,123,1.0,"region,age_group,education,gender,urbanicity",,,1.6633749285177837,mrp_rr_poststrat,80,0.5530249224352229,0.1652183272207028,0.11060498448704459,0.7162947854128155,0.637346009892078,,1000,1,27890,0.0016118179999011772,19220,80,srs,sparse_minority_curve,none,sparse_minority_preference_curve,0,1,0.5530249224352228,0.553024922435223,0,0.7162947854128155,0.7162947854128155,0.7165234794439188,0.7165234794439188,0.7165234794439188
