config_seed,scenario,epsilon,sample_size,population_n,reference_method,ablation_method,n_paired_trials,mean_reference_overall_l1,mean_comparison_overall_l1,mean_delta_overall_l1,win_rate_delta_overall_l1,ci95_low_delta_overall_l1,ci95_high_delta_overall_l1,mean_reference_worst_group_l1_major,mean_comparison_worst_group_l1_major,mean_delta_worst_group_l1,win_rate_delta_worst_group_l1,ci95_low_delta_worst_group_l1,ci95_high_delta_worst_group_l1
123,sparse_minority_curve,1.0,120,500,mrp_rr_poststrat,baseline_rr_debias,20,0.5503446142466656,0.47510973553404445,-0.07523487871262108,0.7,-0.13044009667771814,-0.01544236598208503,0.8746265770849737,1.5732230872971336,0.6985965102121601,0.0,0.6042712863458434,0.7988719723351582
123,privacy_noise_sparse,1.0,120,500,mrp_rr_poststrat,baseline_rr_debias,20,0.3207435809525177,0.5540358440195862,0.23329226306706846,0.05,0.15711752612914148,0.3098202172842136,0.6684031988298675,1.4477871764360466,0.7793839776061794,0.0,0.7130055860802874,0.8454051805411389
123,privacy_helps,1.0,120,500,mrp_rr_poststrat,baseline_rr_debias,20,0.5760659197828003,0.5980618274157331,0.021995907632932764,0.55,-0.06150799142009951,0.12141304760503874,1.104582235431905,1.726811017769617,0.6222287823377115,0.0,0.5527244772030021,0.6879859512134282
