epsilon,n_respondents,bias,seed,method,l1_error,max_abs_error
0.25,250,moderate,1000,poststratified,0.6380927152603888,0.31904635763019445
0.25,250,moderate,1001,raw_frequencies,0.24900000000000005,0.1245
0.25,250,moderate,1001,rr_debiased,0.7758283060915684,0.3879141530457842
0.25,250,moderate,1001,poststratified,0.5788237718782934,0.28941188593914674
0.25,250,moderate,1002,raw_frequencies,0.2970000000000001,0.14850000000000002
0.25,250,moderate,1002,rr_debiased,0.7850000000000001,0.3925
0.25,250,moderate,1002,poststratified,0.7849999999999999,0.3925
0.25,250,moderate,1003,raw_frequencies,0.31300000000000006,0.15649999999999997
0.25,250,moderate,1003,rr_debiased,0.8400000000000001,0.42000000000000004
0.25,250,moderate,1003,poststratified,0.9119418101311781,0.455970905065589
0.25,250,moderate,1004,raw_frequencies,0.2330000000000001,0.11649999999999999
0.25,250,moderate,1004,rr_debiased,0.37499999999999983,0.1875
0.25,250,moderate,1004,poststratified,0.4587096910420474,0.22935484552102375
0.25,250,moderate,1005,raw_frequencies,0.26500000000000007,0.1325
0.25,250,moderate,1005,rr_debiased,0.6283288261510612,0.31416441307553056
0.25,250,moderate,1005,poststratified,0.7131568683333643,0.3565784341666821
0.25,250,moderate,1006,raw_frequencies,0.32900000000000007,0.16449999999999998
0.25,250,moderate,1006,rr_debiased,0.84,0.42000000000000004
0.25,250,moderate,1006,poststratified,0.20643352534550014,0.10321676267275015
0.25,250,moderate,1007,raw_frequencies,0.15300000000000008,0.07650000000000001
0.25,250,moderate,1007,rr_debiased,0.40398930190516646,0.20199465095258323
0.25,250,moderate,1007,poststratified,0.4764785899714638,0.23823929498573188
0.25,250,moderate,1008,raw_frequencies,0.23300000000000004,0.11649999999999999
0.25,250,moderate,1008,rr_debiased,1.2149999999999999,0.6074999999999999
0.25,250,moderate,1008,poststratified,1.0217022017252435,0.5108511008626218
0.25,250,moderate,1009,raw_frequencies,0.24900000000000005,0.1245
0.25,250,moderate,1009,rr_debiased,0.6833288261510612,0.3416644130755306
