config_seed,scenario,epsilon,sample_size,population_n,reference_method,ablation_method,n_paired_trials,mean_reference_overall_l1,mean_comparison_overall_l1,mean_delta_overall_l1,win_rate_delta_overall_l1,ci95_low_delta_overall_l1,ci95_high_delta_overall_l1,mean_reference_worst_group_l1_major,mean_comparison_worst_group_l1_major,mean_delta_worst_group_l1,win_rate_delta_worst_group_l1,ci95_low_delta_worst_group_l1,ci95_high_delta_worst_group_l1
123,simple_linear,1.0,120,1500,mrp_rr_poststrat,raw_reported_distribution,1,0.664903521884924,0.4566666666666667,-0.20823685521825724,1.0,-0.20823685521825724,-0.20823685521825724,0.9103435605997581,1.0968553459119499,0.1865117853121918,0.0,0.1865117853121918,0.1865117853121918
123,simple_linear,1.0,120,1500,mrp_rr_poststrat,baseline_rr_debias,1,0.664903521884924,0.7337970509854249,0.06889352910050095,0.0,0.06889352910050095,0.06889352910050095,0.9103435605997581,1.5974842767295596,0.6871407161298015,0.0,0.6871407161298015,0.6871407161298015
