config_seed,scenario,epsilon,sample_size,method,n_rows,n_failures,n_skipped,mean_runtime_sec,std_runtime_sec,total_runtime_sec
123,nonlinear_interaction,0.5,500,baseline_rr_debias,20,0,0,0.0007936849997349782,0.0001301055372066417,0.015873699994699564
123,nonlinear_interaction,0.5,500,mrp_rr_poststrat,20,0,0,0.1638496599998689,0.01411085265527718,3.276993199997378
123,nonlinear_interaction,0.5,500,hierarchical_rr_mrp_poststrat,20,0,0,0.500521270000354,0.058946687266616817,10.01042540000708
123,nonlinear_interaction,0.5,500,neural_rr_mrp,20,0,0,0.2602069549999214,0.7671231989628526,5.204139099998429
123,nonlinear_interaction,1.0,500,baseline_rr_debias,20,0,0,0.0007488849993023905,0.00010678133218542953,0.01497769998604781
123,nonlinear_interaction,1.0,500,mrp_rr_poststrat,20,0,0,0.16787359500012827,0.009573961117725065,3.3574719000025652
123,nonlinear_interaction,1.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.5085366700006488,0.06483304456795114,10.170733400012978
123,nonlinear_interaction,1.0,500,neural_rr_mrp,20,0,0,0.08159680000026129,0.025121188189192258,1.6319360000052257
123,nonlinear_interaction,2.0,500,baseline_rr_debias,20,0,0,0.0007747250007014373,8.985807497750276e-05,0.015494500014028745
123,nonlinear_interaction,2.0,500,mrp_rr_poststrat,20,0,0,0.1664623949998713,0.013083280678320455,3.3292478999974264
123,nonlinear_interaction,2.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.5119774950000646,0.05876655516261671,10.239549900001293
123,nonlinear_interaction,2.0,500,neural_rr_mrp,20,0,0,0.08155980000010458,0.021718992412669825,1.6311960000020918
123,sparse_minority_curve,0.5,500,baseline_rr_debias,20,0,0,0.0007628449995536358,0.00012178361521654924,0.015256899991072714
123,sparse_minority_curve,0.5,500,mrp_rr_poststrat,20,0,0,0.16704100999977528,0.006808067938979357,3.3408201999955054
123,sparse_minority_curve,0.5,500,hierarchical_rr_mrp_poststrat,20,0,0,0.48075423999998745,0.059992012878555316,9.61508479999975
123,sparse_minority_curve,0.5,500,neural_rr_mrp,20,0,0,0.07123137500057056,0.020160429471346646,1.424627500011411
123,sparse_minority_curve,1.0,500,baseline_rr_debias,20,0,0,0.000754304999463784,0.00011986527256883673,0.01508609998927568
123,sparse_minority_curve,1.0,500,mrp_rr_poststrat,20,0,0,0.16830047000003107,0.011198443475314469,3.366009400000621
123,sparse_minority_curve,1.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.501445910000075,0.06370334128988639,10.028918200001499
123,sparse_minority_curve,1.0,500,neural_rr_mrp,20,0,0,0.06731455000026472,0.007893048122642842,1.3462910000052943
123,sparse_minority_curve,2.0,500,baseline_rr_debias,20,0,0,0.0008387300000322284,8.12943131653638e-05,0.01677460000064457
123,sparse_minority_curve,2.0,500,mrp_rr_poststrat,20,0,0,0.17034698499955994,0.009969604106773073,3.4069396999911987
123,sparse_minority_curve,2.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.4954757499997868,0.0622203857757095,9.909514999995736
123,sparse_minority_curve,2.0,500,neural_rr_mrp,20,0,0,0.07320451000032335,0.014010643428127925,1.464090200006467
123,privacy_noise_sparse,0.5,500,baseline_rr_debias,20,0,0,0.0007823799995094304,0.00011803103775593821,0.01564759999018861
123,privacy_noise_sparse,0.5,500,mrp_rr_poststrat,20,0,0,0.18281302500054153,0.01673766705370349,3.6562605000108306
123,privacy_noise_sparse,0.5,500,hierarchical_rr_mrp_poststrat,20,0,0,0.5438567700000931,0.029744050626111507,10.877135400001862
123,privacy_noise_sparse,0.5,500,neural_rr_mrp,20,0,0,0.08995987000052992,0.03629321178236748,1.7991974000105984
123,privacy_noise_sparse,1.0,500,baseline_rr_debias,20,0,0,0.0007766500002617249,0.00011067176492356211,0.015533000005234499
123,privacy_noise_sparse,1.0,500,mrp_rr_poststrat,20,0,0,0.18053854500067246,0.016425483809879293,3.610770900013449
