ci95_high_overall_l1,ci95_high_overall_mae,ci95_high_p90_age_l1_major,ci95_high_p90_region_l1_major,ci95_high_runtime_sec,ci95_high_weighted_age_l1,ci95_high_weighted_region_l1,ci95_high_winner_correct,ci95_high_worst_age_l1,ci95_high_worst_age_l1_major,ci95_high_worst_group_l1_major,ci95_high_worst_region_l1,ci95_high_worst_region_l1_major,ci95_low_overall_l1,ci95_low_overall_mae,ci95_low_p90_age_l1_major,ci95_low_p90_region_l1_major,ci95_low_runtime_sec,ci95_low_weighted_age_l1,ci95_low_weighted_region_l1,ci95_low_winner_correct,ci95_low_worst_age_l1,ci95_low_worst_age_l1_major,ci95_low_worst_group_l1_major,ci95_low_worst_region_l1,ci95_low_worst_region_l1_major,config_seed,epsilon,mean_n_effective,mean_overall_l1,mean_overall_mae,mean_p90_age_l1_major,mean_p90_region_l1_major,mean_runtime_sec,mean_weighted_age_l1,mean_weighted_region_l1,mean_winner_correct,mean_worst_age_l1,mean_worst_age_l1_major,mean_worst_group_l1_major,mean_worst_region_l1,mean_worst_region_l1_major,method,n_overall_l1,n_overall_mae,n_p90_age_l1_major,n_p90_region_l1_major,n_rows,n_runtime_sec,n_skipped,n_weighted_age_l1,n_weighted_region_l1,n_winner_correct,n_worst_age_l1,n_worst_age_l1_major,n_worst_group_l1_major,n_worst_region_l1,n_worst_region_l1_major,population_n,random_seed,sample_size,sampling,scenario,std_overall_l1,std_overall_mae,std_p90_age_l1_major,std_p90_region_l1_major,std_runtime_sec,std_weighted_age_l1,std_weighted_region_l1,std_winner_correct,std_worst_age_l1,std_worst_age_l1_major,std_worst_group_l1_major,std_worst_region_l1,std_worst_region_l1_major,trials
0.5815454771513542,0.11630909543027085,1.259047808219276,1.285090033528823,0.0008460429999104234,0.8471726193769922,0.9643318372233077,0.95,1.3053262604306894,1.3053262604306894,1.4500475775816415,1.5230938968379895,1.407496069511586,0.41651854595574656,0.08330370919114928,1.0839875229748046,1.1505877707761731,0.0007387926248838995,0.7678190923753186,0.868944433576839,0.6,1.1251295501916938,1.1251295501916938,1.2843407219057723,1.3517539525750242,1.240717797288476,123,0.5,500.0,0.49684882665925156,0.09936976533185034,1.168673402930436,1.216518164208642,0.0007936849997349782,0.80461700271242,0.9124409844011192,0.8,1.2143973196076194,1.2143973196076194,1.3690541556531717,1.4381542323998604,1.3229585308978407,baseline_rr_debias,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.20090414664212164,0.040180829328424324,0.2101194666856667,0.15441133126910245,0.0001301055372066417,0.10064255264695691,0.11386184292995345,0.41039134083406165,0.2234861684461868,0.2234861684461868,0.1991559717073066,0.2019790186468192,0.19218009550322754,20
0.5152760461438222,0.10305520922876446,0.6840883307639676,0.6209114215073056,0.17006899937513026,0.5647733349342469,0.5679928543926532,0.55,0.6840883307639676,0.6840883307639676,0.8224719379314718,0.8224719379314718,0.8224719379314718,0.5095449147631018,0.10190898295262037,0.6787329856604051,0.6150342662108391,0.15753442499990344,0.5593105369363038,0.562600397238443,0.15,0.6787329856604051,0.6787329856604051,0.8169670233768564,0.8169670233768564,0.8169670233768564,123,0.5,500.0,0.5125935422383453,0.10251870844766908,0.6816223852806149,0.6181555253515886,0.1638496599998689,0.5622401134522751,0.5654700840891385,0.35,0.6816223852806149,0.6816223852806149,0.8199151050582092,0.8199151050582092,0.8199151050582092,mrp_rr_poststrat,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.006659977041200007,0.0013319954082400018,0.0065778596569558475,0.006799287257734767,0.01411085265527718,0.006290986572132887,0.0063207368385065806,0.4893604849295929,0.0065778596569558475,0.0065778596569558475,0.0067601538730040905,0.0067601538730040905,0.0067601538730040905,20
0.4149675412924733,0.08299350825849465,0.5906720213492472,0.539747013611225,0.5248276817503574,0.4564776142849106,0.4595872907062341,0.95,0.5906720213492472,0.5906720213492472,0.722795852975707,0.722795852975707,0.722795852975707,0.33778869796534083,0.06755773959306817,0.5104427839383354,0.46654104765243887,0.4755740644997286,0.39053641911626663,0.39517888777644156,0.6,0.5104427839383354,0.5104427839383354,0.6409529034074096,0.6409529034074096,0.6409529034074096,123,0.5,500.0,0.3758973911963691,0.07517947823927382,0.5475813583540462,0.5014760464915374,0.500521270000354,0.4226079506016302,0.42687130644321486,0.8,0.5475813583540462,0.5475813583540462,0.6792704231262784,0.6792704231262784,0.6792704231262784,hierarchical_rr_mrp_poststrat,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.09320779360342112,0.018641558720684223,0.09879377415107601,0.08818606829092084,0.058946687266616817,0.08276945290897793,0.07974062728821614,0.41039134083406165,0.09879377415107601,0.09879377415107601,0.10078389332804165,0.10078389332804165,0.10078389332804165,20
0.5494835623063347,0.10989671246126693,0.7887010984998191,0.8617557764094863,0.6127914834998773,0.6106606670354295,0.662414812594765,0.65,0.7920529762933046,0.7920529762933046,1.0021205773500885,1.019230468490038,0.9996015571813844,0.4393279584730913,0.08786559169461827,0.6564102574996392,0.6601628799259925,0.07563582712489733,0.5146076874418576,0.5373574539954837,0.25,0.6581489917195519,0.6581489917195519,0.8150304981544446,0.8171260138657995,0.8133845171194838,123,0.5,500.0,0.49758322605308364,0.09951664521061675,0.7162165210445262,0.75417284612852,0.2602069549999214,0.5616978638355884,0.5961465619168074,0.45,0.719566981253604,0.719566981253604,0.8993575750549023,0.9107143015829117,0.8977104382654357,neural_rr_mrp,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.12730428732716992,0.025460857465433983,0.16018531290999258,0.24371743329976303,0.7671231989628526,0.1185853113392286,0.15572971223692797,0.5104177855340405,0.16055143394661223,0.16055143394661223,0.22569182964561674,0.2444328250987009,0.22670835885608923,20
0.24672667732560252,0.04934533546512053,0.8313154352437221,1.0394567743708665,0.0007925414992087099,0.542788347037512,0.6905532875003517,1.0,0.9828658683886277,0.9828658683886277,1.2377514904133478,1.3416249501745205,1.190116518348593,0.19046024990951968,0.038092049981903936,0.7048698514991194,0.9342965473140248,0.0007038098743214504,0.4920944088490427,0.6421098790990687,1.0,0.800477921687513,0.800477921687513,1.0901425718363773,1.1741905377235382,1.045569335644588,123,1.0,500.0,0.21963696547453657,0.04392739309490732,0.7705801655114097,0.9868948586768562,0.0007488849993023905,0.5181921377906008,0.6655977049792956,1.0,0.8858361615494136,0.8858361615494136,1.164723608485167,1.2544882971365936,1.1191842303547004,baseline_rr_debias,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.06888048775402186,0.013776097550804374,0.14799301469769743,0.13024359723469597,0.00010678133218542953,0.06034418667703984,0.056899830964085504,0.0,0.20855874428042762,0.20855874428042762,0.18434683409081282,0.19695621231324353,0.17875620305333298,20
0.5103889024550631,0.10207778049101265,0.6744546888481262,0.6168393948771612,0.17173347137399106,0.5569292200009794,0.5605508830952215,0.95,0.6744546888481262,0.6744546888481262,0.8125512459772205,0.8125512459772205,0.8125512459772205,0.5014433825740131,0.10028867651480262,0.6670085012487956,0.6085318912110101,0.16362790275003136,0.5499169048155881,0.5532456989076858,0.55,0.6670085012487956,0.6670085012487956,0.8052267837293197,0.8052267837293197,0.8052267837293197,123,1.0,500.0,0.5059165911205155,0.10118331822410309,0.6706788481910622,0.6126560506760625,0.16787359500012827,0.5534384350988909,0.5568490291429453,0.75,0.6706788481910622,0.6706788481910622,0.80885527562478,0.80885527562478,0.80885527562478,mrp_rr_poststrat,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.010852065426868425,0.0021704130853736838,0.008558768651580614,0.009787532466928052,0.009573961117725065,0.008294557154687677,0.008618750860187051,0.4442616583193193,0.008558768651580614,0.008558768651580614,0.0085285913551107,0.0085285913551107,0.0085285913551107,20
0.2692110776415874,0.05384221552831749,0.44475016274421353,0.4377174795973942,0.5369550368754881,0.3221740417624998,0.3310999130554938,1.0,0.44475016274421353,0.44475016274421353,0.5727694320479199,0.5727694320479199,0.5727694320479199,0.2083557604341846,0.04167115208683692,0.3809123036714702,0.39549984099537094,0.481217181375946,0.27323516937122755,0.28444631413998867,1.0,0.3809123036714702,0.3809123036714702,0.5046546064814287,0.5046546064814287,0.5046546064814287,123,1.0,500.0,0.23878029566595133,0.04775605913319025,0.4118904513227627,0.4168716394117581,0.5085366700006488,0.2972194703165478,0.3073516286577458,1.0,0.4118904513227627,0.4118904513227627,0.53754815821229,0.53754815821229,0.53754815821229,hierarchical_rr_mrp_poststrat,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.07509517409258705,0.01501903481851741,0.07641524415011973,0.05254158886111689,0.06483304456795114,0.05933148510244482,0.05657033577684728,0.0,0.07641524415011973,0.07641524415011973,0.0796569628858564,0.0796569628858564,0.0796569628858564,20
0.3680385369683743,0.07360770739367486,0.5914771088569906,0.7195343288964018,0.09329607650007346,0.4437672826516663,0.48822246712929457,1.0,0.6317164856520581,0.6317164856520581,0.8233446541741224,0.828946865816496,0.8233446541741224,0.2695652388011836,0.05391304776023672,0.4686540014150839,0.5450509047651833,0.07193817150044197,0.34947047540231685,0.38536434038741824,0.7,0.4792613334719519,0.4792613334719519,0.6359016270265483,0.641504820114209,0.6359016270265483,123,1.0,500.0,0.3156203355305156,0.06312406710610313,0.5308918925297201,0.6287291709219713,0.08159680000026129,0.39663473035660046,0.4378411479809377,0.85,0.5516542641011113,0.5516542641011113,0.7249596275211343,0.7311236485528148,0.7249596275211343,neural_rr_mrp,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.11437199326133833,0.022874398652267668,0.1431509728961536,0.2091634676293035,0.025121188189192258,0.1102467714738683,0.12318707648260048,0.36634754853252327,0.18013540535244252,0.18013540535244252,0.2212897141446241,0.22498832500718954,0.2212897141446241,20
0.15804248270833499,0.031608496541666996,0.457699570850485,0.6445688686594059,0.000810910250620509,0.3183088709846237,0.41400808431426284,1.0,0.5234570267486034,0.5234570267486034,0.745783399972853,0.8404005084552489,0.7433383490037092,0.10819956009627243,0.021639912019254488,0.38735228790503134,0.5701572647613856,0.000737550500530233,0.2817800292874247,0.3708461185566809,1.0,0.44195886345455254,0.44195886345455254,0.6450898446414656,0.6957497244121207,0.6391081060599291,123,2.0,500.0,0.1337702327948061,0.02675404655896122,0.4226837964290239,0.606220680617087,0.0007747250007014373,0.29967573766857536,0.3933292772887956,1.0,0.4822754119124206,0.4822754119124206,0.691689308705876,0.7672899611988436,0.6879109934977976,baseline_rr_debias,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.05591055515487508,0.011182111030975017,0.08351330158067356,0.08560438118233281,8.985807497750276e-05,0.043491896602853214,0.049438631289447074,0.0,0.09663544636200506,0.09663544636200506,0.1184590201956048,0.1685799667160645,0.12172299570714339,20
0.44802787909471575,0.08960557581894316,0.6138681216800523,0.5548716915784916,0.1722579344996757,0.4957181943669152,0.4991342637500292,1.0,0.6138681216800523,0.6138681216800523,0.7523224577480677,0.7523224577480677,0.7523224577480677,0.43354034309098133,0.08670806861819629,0.600877904050974,0.5413812492328389,0.16081290124979203,0.48393218537566823,0.48728696651892545,1.0,0.600877904050974,0.600877904050974,0.7412405205990342,0.7412405205990342,0.7412405205990342,123,2.0,500.0,0.4405553686138293,0.08811107372276587,0.6078766252719847,0.5480844316903651,0.1664623949998713,0.48980111650196606,0.4931409478741055,1.0,0.6078766252719847,0.6078766252719847,0.7468214678448142,0.7468214678448142,0.7468214678448142,mrp_rr_poststrat,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,10000,123,500,srs,nonlinear_interaction,0.016651862251499047,0.003330372450299809,0.015444010393038292,0.015418311431474464,0.013083280678320455,0.014010849774391721,0.01407940300840196,0.0,0.015444010393038292,0.015444010393038292,0.013647599077073774,0.013647599077073774,0.013647599077073774,20
