avg_age_l1,avg_region_l1,config_seed,epsilon,feature_set,hierarchical_effect_l2,hierarchical_final_loss,linear_final_loss,method,n_effective,neural_best_validation_loss,neural_brier_score,neural_early_stopped,neural_final_loss,neural_fit_runtime_sec,neural_mean_normalized_entropy,neural_reported_label_nll,neural_steps_completed,neural_validation_loss,overall_l1,overall_linf,overall_mae,p90_age_l1_major,p90_region_l1_major,partial_pooling,population_n,poststratified,random_seed,runtime_sec,sample_seed,sample_size,sampling,scenario,scenario_collection_bias,scenario_truth_model,skipped,trial,weighted_age_l1,weighted_region_l1,winner_correct,worst_age_l1,worst_age_l1_major,worst_group_l1_major,worst_region_l1,worst_region_l1_major
0.8544437612869772,0.759398673145994,123,0.5,"region,age_group,education,gender,urbanicity",,,,baseline_rr_debias,500,,,,,,,,,,0.25620000000000004,0.1281,0.05124000000000001,1.2104622871046227,1.2032953578570411,,10000,,53630,0.0006696999989799224,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.8743907136638934,0.7273802521531113,1,1.2104622871046227,1.2104622871046227,1.2104622871046227,1.2072434607645874,1.2072434607645874
0.5553386922378775,0.5718356313872967,123,0.5,"region,age_group,education,gender,urbanicity",,,1.6100666425822634,mrp_rr_poststrat,500,,,,,,,,,,0.5105942476676141,0.23679437686544816,0.10211884953352282,0.6765773920115361,0.616219548399119,,10000,1,53630,0.12807930000053602,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.5585808675390508,0.5621345497591921,1,0.6765773920115361,0.6765773920115361,0.8132175475292236,0.8132175475292236,0.8132175475292236
0.40221985411768363,0.42069183258531484,123,0.5,"region,age_group,education,gender,urbanicity",1.0,1.6088211004034512,,hierarchical_rr_mrp_poststrat,500,,,,,,,,,,0.35680416429270656,0.1606359975859169,0.0713608328585413,0.5200863486560391,0.4627809416971775,1,10000,1,53630,0.38659719999850495,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.4053171432247491,0.4106198196399416,1,0.5200863486560391,0.5200863486560391,0.6622366705080185,0.6622366705080185,0.6622366705080185
0.5535647648079406,0.5639182143962632,123,0.5,"region,age_group,education,gender,urbanicity",,,,neural_rr_mrp,500,1.6118320226669312,0.8051673181142158,1,1.6086608171463013,0.05100660000243806,0.992213020562144,1.6085963249206543,31,1.6118320226669312,0.48636469677929994,0.23835224959059292,0.09727293935585998,0.6771329544662378,0.6060206555035933,,10000,,53630,3.5139361000001372,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.5579038018653073,0.5540254707562944,0,0.6771329544662378,0.6771329544662378,0.8179957324307758,0.8179957324307758,0.8179957324307758
0.43530295205390795,0.6571615511156144,123,1.0,"region,age_group,education,gender,urbanicity",,,,baseline_rr_debias,500,,,,,,,,,,0.31594183135807463,0.11013953413738649,0.06318836627161492,0.7370448284404495,1.0330285077258956,,10000,,58630,0.000835999999253545,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.4231757205720868,0.6665612618989829,1,0.7370448284404495,0.7370448284404495,1.0334104907463848,1.0334104907463848,1.0334104907463848
0.5529940273011807,0.5695167413398327,123,1.0,"region,age_group,education,gender,urbanicity",,,1.609410244675717,mrp_rr_poststrat,500,,,,,,,,,,0.5102371761130952,0.2342721015078499,0.10204743522261903,0.6723014488654997,0.6155563659291765,,10000,1,58630,0.1726706000008562,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.5564140745887125,0.5596807325962896,1,0.6723014488654997,0.6723014488654997,0.8101741195613493,0.8101741195613493,0.8101741195613493
0.2438636116317081,0.2688638032443456,123,1.0,"region,age_group,education,gender,urbanicity",1.0,1.5981908036473524,,hierarchical_rr_mrp_poststrat,500,,,,,,,,,,0.17496213940994004,0.08065046530287227,0.03499242788198801,0.3555454982399781,0.41433244095876987,1,10000,1,58630,0.3963002000018605,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.25446965194059784,0.2531555649506121,1,0.3555454982399781,0.3555454982399781,0.4774924485664402,0.4774924485664402,0.4774924485664402
0.24251468331401096,0.2748230571134172,123,1.0,"region,age_group,education,gender,urbanicity",,,,neural_rr_mrp,500,1.6016874313354492,0.7338962631643438,1,1.5839972496032715,0.051814700000250014,0.8974832814324493,1.5867396593093872,39,1.6016874313354492,0.16703596578841534,0.06490466222939308,0.03340719315768307,0.37542514639992797,0.4193624570173897,,10000,,58630,0.060543899999174755,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.26067124729043106,0.2547485528681206,1,0.37542514639992797,0.37542514639992797,0.5052512229558023,0.5052512229558023,0.5052512229558023
0.3045277851677332,0.4683058635437589,123,2.0,"region,age_group,education,gender,urbanicity",,,,baseline_rr_debias,500,,,,,,,,,,0.1318089414350201,0.03557764641244979,0.02636178828700402,0.329041801156261,0.6290460507212352,,10000,,68630,0.0006007000010868069,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.27993855721203864,0.3950507235636801,1,0.5231566162734562,0.5231566162734562,0.6626537664004077,1.0561905537483163,0.6626537664004077
0.4946563794249644,0.5082034433771522,123,2.0,"region,age_group,education,gender,urbanicity",,,1.602751655020507,mrp_rr_poststrat,500,,,,,,,,,,0.4382220338003052,0.21052342500049426,0.08764440676006105,0.6146691329194566,0.5474659628583058,,10000,1,68630,0.14599669999734033,49960,500,srs,nonlinear_interaction,none,region_age_and_education_urbanicity_interactions,0,0,0.4965110649054261,0.4981637044835981,1,0.6146691329194566,0.6146691329194566,0.7609612597027599,0.7609612597027599,0.7609612597027599
