config_seed,scenario,epsilon,sample_size,population_n,reference_method,ablation_method,n_paired_trials,mean_reference_overall_l1,mean_comparison_overall_l1,mean_delta_overall_l1,win_rate_delta_overall_l1,ci95_low_delta_overall_l1,ci95_high_delta_overall_l1,mean_reference_worst_group_l1_major,mean_comparison_worst_group_l1_major,mean_delta_worst_group_l1,win_rate_delta_worst_group_l1,ci95_low_delta_worst_group_l1,ci95_high_delta_worst_group_l1
123,nonlinear_interaction,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5125935422383453,0.49684882665925156,-0.01574471557909371,0.7,-0.0948917252705047,0.06599112584287081,0.8199151050582092,1.3690541556531717,0.5491390505949626,0.0,0.4649576193456423,0.6309055052254685
123,nonlinear_interaction,1.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5059165911205155,0.21963696547453657,-0.2862796256459788,1.0,-0.31580748072080317,-0.25822560595668836,0.80885527562478,1.164723608485167,0.3558683328603872,0.0,0.28142488246977965,0.4380306184398932
123,nonlinear_interaction,2.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.4405553686138293,0.1337702327948061,-0.30678513581902317,1.0,-0.328857875117697,-0.28459696478183955,0.7468214678448142,0.691689308705876,-0.05513215913893819,0.75,-0.10689751409137935,-0.003922894310008019
123,sparse_minority_curve,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5068273887199429,0.5275953665870571,0.02076797786711413,0.45,-0.052571442749598005,0.10132263033597587,0.6387436238220521,1.422187167137011,0.783443543314959,0.0,0.7122492902935904,0.8653710104600189
123,sparse_minority_curve,1.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.49916605185848467,0.24583307921369899,-0.25333297264478566,1.0,-0.28990680164522303,-0.218623346717417,0.631669472832459,1.1590063590878892,0.52733688625543,0.0,0.4661623172621469,0.5883750595035391
123,sparse_minority_curve,2.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.4420816287524755,0.12730140958858122,-0.3147802191638942,1.0,-0.3312253569005244,-0.2958731707664233,0.5731273262340324,0.7306319425602408,0.15750461632620835,0.1,0.10290473771919927,0.2163624013257199
123,privacy_noise_sparse,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.3049092193412559,0.562485335243821,0.25757611590256524,0.0,0.1824832115473002,0.3494454035347412,0.5200770508356247,1.3433441739509555,0.8232671231153305,0.0,0.755244931627981,0.8888928205815795
123,privacy_noise_sparse,1.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.2981365107766292,0.23574242973253115,-0.06239408104409805,0.8,-0.09940247044917054,-0.019971735520883264,0.5127108813342304,1.1551058281079887,0.6423949467737581,0.0,0.5650004927843999,0.7198226215519794
123,privacy_noise_sparse,2.0,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.26374763162031745,0.1423291040251059,-0.12141852759521157,1.0,-0.14118508059791093,-0.10173382377186041,0.47552248090988314,0.7960778390750494,0.3205553581651664,0.0,0.2624666945507888,0.37964299204139085
123,simple_linear,0.5,500,10000,mrp_rr_poststrat,baseline_rr_debias,20,0.5911266658292746,0.5348684448194948,-0.05625822100977969,0.6,-0.1177817865086998,0.003171710413695967,0.7361240954548455,1.4921089443456201,0.7559848488907746,0.0,0.6647002536008637,0.8499789235562866
