baseline_mean_overall_l1,baseline_mean_overall_mae,baseline_mean_p90_age_l1_major,baseline_mean_p90_region_l1_major,baseline_mean_runtime_sec,baseline_mean_weighted_age_l1,baseline_mean_weighted_region_l1,baseline_mean_winner_correct,baseline_mean_worst_age_l1_major,baseline_mean_worst_region_l1_major,baseline_method,complexity_supported_basic,delta_mean_overall_l1,delta_mean_overall_mae,delta_mean_p90_age_l1_major,delta_mean_p90_region_l1_major,delta_mean_runtime_sec,delta_mean_weighted_age_l1,delta_mean_weighted_region_l1,delta_mean_winner_correct,delta_mean_worst_age_l1_major,delta_mean_worst_region_l1_major,epsilon,n_sample,neural_better_mean_overall_l1,neural_better_mean_overall_mae,neural_better_mean_p90_age_l1_major,neural_better_mean_p90_region_l1_major,neural_better_mean_runtime_sec,neural_better_mean_weighted_age_l1,neural_better_mean_weighted_region_l1,neural_better_mean_winner_correct,neural_better_mean_worst_age_l1_major,neural_better_mean_worst_region_l1_major,neural_mean_overall_l1,neural_mean_overall_mae,neural_mean_p90_age_l1_major,neural_mean_p90_region_l1_major,neural_mean_runtime_sec,neural_mean_weighted_age_l1,neural_mean_weighted_region_l1,neural_mean_winner_correct,neural_mean_worst_age_l1_major,neural_mean_worst_region_l1_major,neural_method,runtime_ratio_neural_vs_baseline,scenario,scenario_label
1.010512477149713,0.20210249542994257,1.47117296222664,1.2010178117048347,0.0012200959999972838,1.0105831676407382,0.9628894414568318,0.0,1.47117296222664,1.4057971014492752,baseline_rr_debias,1,-0.7744579760549806,-0.1548915952109961,-0.9756878598466212,-0.5619457026359592,0.013933389000158058,-0.648966301951804,-0.535278695918792,0.0,-0.9756878598466212,-0.6854813499266217,0.2,500,1,1,1,1,0,1,1,0,1,1,0.2360545010947323,0.04721090021894646,0.4954851023800188,0.6390721090688755,0.015153485000155342,0.36161686568893414,0.4276107455380398,0.0,0.4954851023800188,0.7203157515226535,neural_rr_mrp,12.41991203986332,no_bias,no_bias
0.1362523557722568,0.02725047115445136,0.3900525864087801,0.5725877446690536,0.0028971820001970627,0.2857430320620537,0.396549862408638,1.0,0.3900525864087801,0.7186299028562353,mrp_rr_poststrat,0,0.0998021453224755,0.0199604290644951,0.1054325159712387,0.06648436439982186,0.01225630299995828,0.07587383362688044,0.031060883129401806,-1.0,0.1054325159712387,0.0016858486664181882,0.2,500,0,0,0,0,0,0,0,0,0,0,0.2360545010947323,0.04721090021894646,0.4954851023800188,0.6390721090688755,0.015153485000155342,0.36161686568893414,0.4276107455380398,0.0,0.4954851023800188,0.7203157515226535,neural_rr_mrp,5.230422182356725,no_bias,no_bias
0.21355350896590292,0.04271070179318058,0.46329704984128184,0.633465232685814,0.002827409000019543,0.33138961369626474,0.42231143062077314,1.0,0.46329704984128184,0.9369843016151671,mrp_misreport_rr_poststrat,0,0.02250099212882939,0.004500198425765878,0.032188052538736966,0.005606876383061454,0.0123260760001358,0.0302272519926694,0.005299314917266651,-1.0,0.032188052538736966,-0.21666855009251362,0.2,500,0,0,0,0,0,0,0,0,0,1,0.2360545010947323,0.04721090021894646,0.4954851023800188,0.6390721090688755,0.015153485000155342,0.36161686568893414,0.4276107455380398,0.0,0.4954851023800188,0.7203157515226535,neural_rr_mrp,5.359495212772755,no_bias,no_bias
0.23135635369880395,0.04627127073976079,0.4831422216265372,0.6441149613377429,0.003433946000313881,0.34212387464071253,0.4290672627083072,0.0,0.4831422216265372,0.9507697037006129,mrp_learned_misreport_rr_poststrat,0,0.004698147395928359,0.0009396294791856677,0.012342880753481611,-0.00504285226886747,0.011719538999841461,0.01949299104822161,-0.0014565171702674018,0.0,0.012342880753481611,-0.2304539521779594,0.2,500,0,0,0,1,0,0,1,0,0,1,0.2360545010947323,0.04721090021894646,0.4954851023800188,0.6390721090688755,0.015153485000155342,0.36161686568893414,0.4276107455380398,0.0,0.4954851023800188,0.7203157515226535,neural_rr_mrp,4.412848949508883,no_bias,no_bias
0.6482152284445329,0.12964304568890658,1.0513374355210312,1.2979890310786106,0.0010651789998519234,0.8881859648342002,0.9246226294847195,0.0,1.0513374355210312,1.2979890310786106,baseline_rr_debias,1,-0.3986366036104927,-0.07972732072209854,-0.5853390784435841,-0.5294072999319543,0.01144546299974536,-0.5278785137269433,-0.4420020712788188,0.0,-0.5853390784435841,-0.3710266105007185,0.5,500,1,1,1,1,0,1,1,0,1,1,0.24957862483404022,0.049915724966808045,0.4659983570774471,0.7685817311466563,0.012510641999597283,0.360307451107257,0.4826205582059007,0.0,0.4659983570774471,0.9269624205778921,neural_rr_mrp,11.745107631052113,no_bias,no_bias
0.27787353110611435,0.05557470622122287,0.5077731520320041,0.7724277663155127,0.0031522579997727007,0.36704565596282485,0.4710506143480539,0.0,0.5077731520320041,0.9950579645480702,mrp_rr_poststrat,1,-0.028294906272074122,-0.005658981254414823,-0.04177479495455705,-0.0038460351688563987,0.009358383999824582,-0.006738204855567864,0.01156994385784682,0.0,-0.04177479495455705,-0.06809554397017803,0.5,500,1,1,1,1,0,1,0,0,1,1,0.24957862483404022,0.049915724966808045,0.4659983570774471,0.7685817311466563,0.012510641999597283,0.360307451107257,0.4826205582059007,0.0,0.4659983570774471,0.9269624205778921,neural_rr_mrp,3.968787453469667,no_bias,no_bias
0.21292016567845884,0.04258403313569177,0.46259706764643177,0.6328141053239654,0.003141937000236794,0.3313134438281433,0.42228461458308164,1.0,0.46259706764643177,0.9370815141194604,mrp_misreport_rr_poststrat,0,0.036658459155581385,0.007331691831116274,0.0034012894310153086,0.13576762582269086,0.009368704999360489,0.028994007279113665,0.06033594362281908,-1.0,0.0034012894310153086,-0.010119093541568258,0.5,500,0,0,0,0,0,0,0,0,0,1,0.24957862483404022,0.049915724966808045,0.4659983570774471,0.7685817311466563,0.012510641999597283,0.360307451107257,0.4826205582059007,0.0,0.4659983570774471,0.9269624205778921,neural_rr_mrp,3.98182458739765,no_bias,no_bias
0.23080563937178794,0.04616112787435759,0.4824566973452758,0.6439243275884529,0.003320542999972531,0.34197409499653364,0.42907699339912286,0.0,0.4824566973452758,0.9505861014574766,mrp_learned_misreport_rr_poststrat,0,0.018772985462252284,0.0037545970924504554,-0.01645834026782872,0.12465740355820343,0.009190098999624752,0.018333356110723342,0.053543564806777855,0.0,-0.01645834026782872,-0.02362368087958444,0.5,500,0,0,1,0,0,0,0,0,1,1,0.24957862483404022,0.049915724966808045,0.4659983570774471,0.7685817311466563,0.012510641999597283,0.360307451107257,0.4826205582059007,0.0,0.4659983570774471,0.9269624205778921,neural_rr_mrp,3.7676494476056406,no_bias,no_bias
0.37039068274773057,0.07407813654954612,1.0444104880201146,1.0570622011096,0.0011098720001427864,0.6931065581828102,0.7103187225310941,0.0,1.0444104880201146,1.2146118721461185,baseline_rr_debias,1,-0.1385808231265934,-0.027716164625318687,-0.5862198323037409,-0.3131508808475383,0.011057252999762568,-0.3464977715717085,-0.26154459159613647,0.0,-0.5862198323037409,-0.3786660604018496,1.0,500,1,1,1,1,0,1,1,0,1,1,0.23180985962113718,0.04636197192422743,0.4581906557163737,0.7439113202620617,0.012167124999905354,0.34660878661110167,0.4487741309349576,0.0,0.4581906557163737,0.835945811744269,neural_rr_mrp,10.962638032439811,no_bias,no_bias
0.22092495321929456,0.04418499064385891,0.45638564295084355,0.7212481150182627,0.0025435809998270997,0.31630754911601544,0.4123985826462507,0.0,0.45638564295084355,0.9186982890979492,mrp_rr_poststrat,0,0.010884906401842614,0.0021769812803685215,0.001805012765530134,0.022663205243799056,0.009623544000078255,0.03030123749508623,0.03637554828870693,0.0,0.001805012765530134,-0.08275247735368019,1.0,500,0,0,0,0,0,0,0,0,0,1,0.23180985962113718,0.04636197192422743,0.4581906557163737,0.7439113202620617,0.012167124999905354,0.34660878661110167,0.4487741309349576,0.0,0.4581906557163737,0.835945811744269,neural_rr_mrp,4.783462764005713,no_bias,no_bias
