epsilon,mean_n_effective,mean_overall_l1,mean_overall_mae,mean_p90_age_l1_major,mean_p90_region_l1_major,mean_runtime_sec,mean_weighted_age_l1,mean_weighted_region_l1,mean_winner_correct,mean_worst_age_l1,mean_worst_age_l1_major,mean_worst_region_l1,mean_worst_region_l1_major,method,n_rows,n_sample,preset,scenario,scenario_label,std_overall_l1,std_overall_mae,std_p90_age_l1_major,std_p90_region_l1_major,std_runtime_sec,std_weighted_age_l1,std_weighted_region_l1,std_winner_correct,std_worst_age_l1,std_worst_age_l1_major,std_worst_region_l1,std_worst_region_l1_major
0.2,500.0,0.16200000000000003,0.032400000000000005,0.6412240840670265,0.7122803919837557,0.00045090699995853356,0.3789803337405715,0.46237855176483483,0.0,0.6412240840670265,0.6412240840670265,0.8595945777888323,0.8595945777888323,raw_reported_distribution,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,1.010512477149713,0.20210249542994257,1.47117296222664,1.2010178117048347,0.0012200959999972838,1.0105831676407382,0.9628894414568318,0.0,1.47117296222664,1.47117296222664,1.4057971014492752,1.4057971014492752,baseline_rr_debias,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.1362523557722568,0.02725047115445136,0.3900525864087801,0.5725877446690536,0.0028971820001970627,0.2857430320620537,0.396549862408638,1.0,0.3900525864087801,0.3900525864087801,0.7186299028562353,0.7186299028562353,mrp_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.21355350896590292,0.04271070179318058,0.46329704984128184,0.633465232685814,0.002827409000019543,0.33138961369626474,0.42231143062077314,1.0,0.46329704984128184,0.46329704984128184,0.9369843016151671,0.9369843016151671,mrp_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.23135635369880395,0.04627127073976079,0.4831422216265372,0.6441149613377429,0.003433946000313881,0.34212387464071253,0.4290672627083072,0.0,0.4831422216265372,0.4831422216265372,0.9507697037006129,0.9507697037006129,mrp_learned_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.2360545010947323,0.04721090021894646,0.4954851023800188,0.6390721090688755,0.015153485000155342,0.36161686568893414,0.4276107455380398,0.0,0.4954851023800188,0.4954851023800188,0.7203157515226535,0.7203157515226535,neural_rr_mrp,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.17320000000000002,0.034640000000000004,0.44227112197772345,0.7214611872146118,0.00031129199987844913,0.2887439141739543,0.45905638104610336,0.0,0.44227112197772345,0.44227112197772345,0.7665713219748789,0.7665713219748789,raw_reported_distribution,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.6482152284445329,0.12964304568890658,1.0513374355210312,1.2979890310786106,0.0010651789998519234,0.8881859648342002,0.9246226294847195,0.0,1.0513374355210312,1.0513374355210312,1.2979890310786106,1.2979890310786106,baseline_rr_debias,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.27787353110611435,0.05557470622122287,0.5077731520320041,0.7724277663155127,0.0031522579997727007,0.36704565596282485,0.4710506143480539,0.0,0.5077731520320041,0.5077731520320041,0.9950579645480702,0.9950579645480702,mrp_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.21292016567845884,0.04258403313569177,0.46259706764643177,0.6328141053239654,0.003141937000236794,0.3313134438281433,0.42228461458308164,1.0,0.46259706764643177,0.46259706764643177,0.9370815141194604,0.9370815141194604,mrp_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.23080563937178794,0.04616112787435759,0.4824566973452758,0.6439243275884529,0.003320542999972531,0.34197409499653364,0.42907699339912286,0.0,0.4824566973452758,0.4824566973452758,0.9505861014574766,0.9505861014574766,mrp_learned_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.24957862483404022,0.049915724966808045,0.4659983570774471,0.7685817311466563,0.012510641999597283,0.360307451107257,0.4826205582059007,0.0,0.4659983570774471,0.4659983570774471,0.9269624205778921,0.9269624205778921,neural_rr_mrp,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.182,0.0364,0.5268248685970205,0.6374576271186441,0.0004144530003031832,0.3099088943798947,0.4250377467499586,0.0,0.5268248685970205,0.5268248685970205,0.6735480661609253,0.6735480661609253,raw_reported_distribution,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.37039068274773057,0.07407813654954612,1.0444104880201146,1.0570622011096,0.0011098720001427864,0.6931065581828102,0.7103187225310941,0.0,1.0444104880201146,1.0444104880201146,1.2146118721461185,1.2146118721461185,baseline_rr_debias,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.22092495321929456,0.04418499064385891,0.45638564295084355,0.7212481150182627,0.0025435809998270997,0.31630754911601544,0.4123985826462507,0.0,0.45638564295084355,0.45638564295084355,0.9186982890979492,0.9186982890979492,mrp_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.21201602073691872,0.042403204147383744,0.46189638980181896,0.6345404241267137,0.0030621429996244842,0.33074032147636245,0.422315553433321,0.0,0.46189638980181896,0.46189638980181896,0.9354491232988184,0.9354491232988184,mrp_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.22980710767848084,0.04596142153569617,0.4815977104999853,0.6453794045692749,0.0033919480001713964,0.34164977623763026,0.42916258026133564,0.0,0.4815977104999853,0.4815977104999853,0.9504066010395593,0.9504066010395593,mrp_learned_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.23180985962113718,0.04636197192422743,0.4581906557163737,0.7439113202620617,0.012167124999905354,0.34660878661110167,0.4487741309349576,0.0,0.4581906557163737,0.4581906557163737,0.835945811744269,0.835945811744269,neural_rr_mrp,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,500.0,0.08560000000000002,0.017120000000000003,0.20448736154501568,0.531864406779661,0.000449775000106456,0.16535917819342333,0.3366454548579627,1.0,0.20448736154501568,0.20448736154501568,0.5340131824399952,0.5340131824399952,raw_reported_distribution,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,500.0,0.061058821374832914,0.012211764274966582,0.4327795894333394,0.6789332703393675,0.0013790940001854324,0.24944533788274087,0.4519673107095237,1.0,0.4327795894333394,0.4327795894333394,0.9151170363420185,0.9151170363420185,baseline_rr_debias,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,500.0,0.0913068912982941,0.01826137825965882,0.37563248618578104,0.5776926036692259,0.0026306160002604884,0.2902291415512562,0.38377298615574834,0.0,0.37563248618578104,0.37563248618578104,0.8335212201358164,0.8335212201358164,mrp_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,500.0,0.2058283811661479,0.04116567623322958,0.4550696092702531,0.6291174369596678,0.002747388999978284,0.32562123299277324,0.4182724461865344,1.0,0.4550696092702531,0.4550696092702531,0.9282189109896025,0.9282189109896025,mrp_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,500.0,0.22422826942567906,0.04484565388513581,0.475492118142418,0.6382684891666995,0.003285717999915505,0.33743673918241696,0.4253218151418399,1.0,0.475492118142418,0.475492118142418,0.9439319882503581,0.9439319882503581,mrp_learned_misreport_rr_poststrat,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,500.0,0.08931709221761562,0.017863418443523123,0.33433212500959997,0.552187321762505,0.012695453000105772,0.2612071076797804,0.3719551931952972,1.0,0.33433212500959997,0.33433212500959997,0.8176763997493273,0.8176763997493273,neural_rr_mrp,1,500,full,no_bias,no_bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,406.0,0.1318857142857143,0.02637714285714286,0.4319788592216349,0.7130124777183601,0.0003948319999835803,0.3716100522965167,0.4583479869465517,0.0,0.4319788592216349,0.4319788592216349,0.8526315789473684,0.7929782082324455,raw_reported_distribution,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,406.0,0.4295766419582585,0.0859153283916517,1.3164556962025318,1.5889830508474576,0.0011047839998354902,1.1102630137804133,0.8801647455884891,0.0,1.3164556962025318,1.3164556962025318,1.683794466403162,1.683794466403162,baseline_rr_debias,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,406.0,0.12309021492004397,0.024618042984008794,0.3777501024528005,0.5500849339786407,0.002448482999625412,0.29037363458573817,0.3740278460919857,0.0,0.3777501024528005,0.3777501024528005,0.9036097824374303,0.9036097824374303,mrp_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,406.0,0.2134323548206651,0.04268647096413302,0.46318658556674136,0.6332219830838606,0.002569887000390736,0.33130661788384735,0.42221447746325486,1.0,0.46318658556674136,0.46318658556674136,0.9371888441519636,0.9371888441519636,mrp_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,406.0,0.23126898849775654,0.046253797699551305,0.48302182556336165,0.6439441338789453,0.0031943660001161334,0.3420712438638511,0.4289599738691697,0.0,0.48302182556336165,0.48302182556336165,0.9510925225104367,0.9510925225104367,mrp_learned_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,406.0,0.17516283777525168,0.03503256755505034,0.4213575985576911,0.6446285855161252,0.011015994999979739,0.32841473554442313,0.41787162145003626,0.0,0.4213575985576911,0.4213575985576911,0.8357528617028678,0.8357528617028678,neural_rr_mrp,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,406.0,0.21777931034482761,0.04355586206896552,0.3987571921749137,0.7070799401695198,0.00029847600035282085,0.3134538629818754,0.5023404645208729,0.0,0.3987571921749137,0.3987571921749137,1.0421052631578949,0.9554367201426025,raw_reported_distribution,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,406.0,0.7864054496904809,0.15728108993809617,1.3398058252427183,1.08300395256917,0.001006593000056455,0.9215395975488804,0.9561671879050723,0.0,1.3398058252427183,1.3398058252427183,1.3991147114560019,1.3991147114560019,baseline_rr_debias,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,406.0,0.28154449901580814,0.05630889980316163,0.44677266780933717,0.605200508694431,0.002274229000249761,0.34186006389260293,0.42672232381105424,0.0,0.44677266780933717,0.44677266780933717,1.0597613984171081,1.0597613984171081,mrp_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
