avg_age_l1,avg_region_l1,epsilon,learned_honesty,method,n_effective,n_sample,neural_final_loss,overall_l1,overall_linf,overall_mae,p90_age_l1_major,p90_region_l1_major,preset,runtime_sec,scenario,scenario_label,skipped,trial,weighted_age_l1,weighted_region_l1,winner_correct,worst_age_l1,worst_age_l1_major,worst_region_l1,worst_region_l1_major
0.40468601247734126,0.4928873484189753,0.2,,raw_reported_distribution,500,500,,0.16200000000000003,0.05719999999999999,0.032400000000000005,0.6412240840670265,0.7122803919837557,full,0.00045090699995853356,no_bias,no_bias,0,0,0.3789803337405715,0.46237855176483483,0,0.6412240840670265,0.6412240840670265,0.8595945777888323,0.8595945777888323
1.0370039752980083,0.9838056633849376,0.2,,baseline_rr_debias,500,500,,1.010512477149713,0.3213930479387933,0.20210249542994257,1.47117296222664,1.2010178117048347,full,0.0012200959999972838,no_bias,no_bias,0,0,1.0105831676407382,0.9628894414568318,0,1.47117296222664,1.47117296222664,1.4057971014492752,1.4057971014492752
0.29579790194606703,0.3925449826534417,0.2,,mrp_rr_poststrat,500,500,,0.1362523557722568,0.05025400860905646,0.02725047115445136,0.3900525864087801,0.5725877446690536,full,0.0028971820001970627,no_bias,no_bias,0,0,0.2857430320620537,0.396549862408638,1,0.3900525864087801,0.3900525864087801,0.7186299028562353,0.7186299028562353
0.3367066428138679,0.4152984644414743,0.2,,mrp_misreport_rr_poststrat,500,500,,0.21355350896590292,0.07769596138632955,0.04271070179318058,0.46329704984128184,0.633465232685814,full,0.002827409000019543,no_bias,no_bias,0,0,0.33138961369626474,0.42231143062077314,1,0.46329704984128184,0.46329704984128184,0.9369843016151671,0.9369843016151671
0.3459291938420301,0.4196805682931801,0.2,0.7999831758709824,mrp_learned_misreport_rr_poststrat,500,500,,0.23135635369880395,0.08303777940625397,0.04627127073976079,0.4831422216265372,0.6441149613377429,full,0.003433946000313881,no_bias,no_bias,0,0,0.34212387464071253,0.4290672627083072,0,0.4831422216265372,0.4831422216265372,0.9507697037006129,0.9507697037006129
0.35362774223291266,0.4196300037864767,0.2,,neural_rr_mrp,500,500,1.607353687286377,0.2360545010947323,0.10316077659283314,0.04721090021894646,0.4954851023800188,0.6390721090688755,full,0.015153485000155342,no_bias,no_bias,0,0,0.36161686568893414,0.4276107455380398,0,0.4954851023800188,0.4954851023800188,0.7203157515226535,0.7203157515226535
0.2916497793594439,0.494936367520665,0.5,,raw_reported_distribution,500,500,,0.17320000000000002,0.08319999999999998,0.034640000000000004,0.44227112197772345,0.7214611872146118,full,0.00031129199987844913,no_bias,no_bias,0,0,0.2887439141739543,0.45905638104610336,0,0.44227112197772345,0.44227112197772345,0.7665713219748789,0.7665713219748789
0.9059873198574011,0.9360021911970818,0.5,,baseline_rr_debias,500,500,,0.6482152284445329,0.1704,0.12964304568890658,1.0513374355210312,1.2979890310786106,full,0.0010651789998519234,no_bias,no_bias,0,0,0.8881859648342002,0.9246226294847195,0,1.0513374355210312,1.0513374355210312,1.2979890310786106,1.2979890310786106
0.37838896769360103,0.4868094606855253,0.5,,mrp_rr_poststrat,500,500,,0.27787353110611435,0.10694951515793802,0.05557470622122287,0.5077731520320041,0.7724277663155127,full,0.0031522579997727007,no_bias,no_bias,0,0,0.36704565596282485,0.4710506143480539,0,0.5077731520320041,0.5077731520320041,0.9950579645480702,0.9950579645480702
0.33673391071735564,0.4154529020876945,0.5,,mrp_misreport_rr_poststrat,500,500,,0.21292016567845884,0.07793604825998367,0.04258403313569177,0.46259706764643177,0.6328141053239654,full,0.003141937000236794,no_bias,no_bias,0,0,0.3313134438281433,0.42228461458308164,1,0.46259706764643177,0.46259706764643177,0.9370815141194604,0.9370815141194604
